"stand_roi","hit_roi","split_roi","double_down_roi","player_card_1","player_card_2","dealer_card"
0.559145077531232,-0.847141516077791,NA,-1.69428303215558,10,10,10
0.756074628186134,-0.849438014010023,NA,-1.69887602802005,10,10,9
0.790420053643079,-0.850100627959738,NA,-1.70020125591948,10,10,8
0.772011162700598,-0.850445084257789,NA,-1.70089016851558,10,10,7
0.676589938359453,-0.852917722548665,NA,-1.70583544509733,10,10,6
0.668926983164892,-0.853116703905024,NA,-1.70623340781005,10,10,5
0.654267464958709,-0.853474124415695,NA,-1.70694824883139,10,10,4
0.643634193785238,-0.853715616891333,NA,-1.70743123378266,10,10,3
0.63291048899493,-0.853995952583817,NA,-1.70799190516763,10,10,2
0.60034449173473,-0.858455416568124,NA,-1.71691083313625,10,10,1
0.0694439751605396,-0.726389090447632,NA,-1.45277818089526,10,9,10
0.283900655896215,-0.712762803644412,NA,-1.42552560728882,10,9,9
0.591090614997747,-0.711064982799208,NA,-1.42212996559842,10,9,8
0.615046956058773,-0.712756291064279,NA,-1.42551258212856,10,9,7
0.450522668564708,-0.722695217695334,NA,-1.44539043539067,10,9,6
0.437502259059053,-0.7234589638515,NA,-1.446917927703,10,9,5
0.413067186708059,-0.724936818328845,NA,-1.44987363665769,10,9,4
0.394037207213856,-0.726003139783964,NA,-1.45200627956793,10,9,3
0.377920992133063,-0.732844937155143,NA,-1.46568987431029,10,9,2
0.19196598580532,-0.733038639168897,NA,-1.46607727833779,10,9,1
-0.174545737051188,-0.64374462377231,NA,-1.28748924754462,10,8,10
-0.185193909419711,-0.612832561144204,NA,-1.22566512228841,10,8,9
0.104057229365063,-0.586988470033774,NA,-1.17397694006755,10,8,8
0.397743379043957,-0.587340396452075,NA,-1.17468079290415,10,8,7
0.220260547805486,-0.610053628601654,NA,-1.22010725720331,10,8,6
0.195534046504051,-0.611809210562819,NA,-1.22361842112564,10,8,5
0.16436295869574,-0.61515731206246,NA,-1.23031462412492,10,8,4
0.137848668485508,-0.623182927197458,NA,-1.24636585439492,10,8,3
0.109693250837613,-0.625184433976091,NA,-1.25036886795218,10,8,2
-0.223376698292111,-0.63991134061561,NA,-1.27982268123122,10,8,1
-0.171079713389724,-0.643985170094481,NA,-1.28797034018896,9,9,10
-0.185234658143855,-0.613051703169057,NA,-1.22610340633811,9,9,9
0.0992609354180373,-0.58714776171545,NA,-1.1742955234309,9,9,8
0.399575871039728,-0.587176459856556,NA,-1.17435291971311,9,9,7
0.220168064906376,-0.610062645608494,NA,-1.22012529121699,9,9,6
0.19552322396294,-0.611796959156324,NA,-1.22359391831265,9,9,5
0.164402581134313,-0.615147374584512,NA,-1.23029474916902,9,9,4
0.134754337154176,-0.623778273816516,NA,-1.24755654763303,9,9,3
0.112768023869352,-0.624382085228241,NA,-1.24876417045648,9,9,2
-0.219502003418987,-0.638487229730998,NA,-1.276974459462,9,9,1
-0.418457367873025,-0.580065892405368,NA,-1.16013178481074,10,7,10
-0.422164371700062,-0.549404214454415,NA,-1.09880842890883,10,7,9
-0.384232493221869,-0.500966967050422,NA,-1.00193393410084,10,7,8
-0.108884885881281,-0.478379751384109,NA,-0.956759502768218,10,7,7
-0.00981607641936871,-0.51524260673889,NA,-1.03048521347778,10,7,6
-0.0459862209608333,-0.518956714872353,NA,-1.03791342974471,10,7,5
-0.0808302753294035,-0.529979019888786,NA,-1.05995803977757,10,7,4
-0.120447262290026,-0.534199910942807,NA,-1.06839982188561,10,7,3
-0.157191793789667,-0.538481535850315,NA,-1.07696307170063,10,7,2
-0.513757576580408,-0.578940341500807,NA,-1.15788068300161,10,7,1
-0.540954439019025,-0.534675562452564,NA,-1.06935112490513,10,6,10
-0.542504659266196,-0.504546750815246,NA,-1.00909350163049,10,6,9
-0.513309442707562,-0.453130398035726,NA,-0.906260796071452,10,6,8
-0.476476161284783,-0.40862362504977,NA,-0.81724725009954,10,6,7
-0.124544187441002,-0.437508391507393,NA,-0.875016783014785,10,6,6
-0.160655300777376,-0.449717769514533,NA,-0.899435539029065,10,6,5
-0.203054726705372,-0.457943587669882,NA,-0.915887175339765,10,6,4
-0.246368788300977,-0.465336256397556,NA,-0.930672512795113,10,6,3
-0.287236594982288,-0.47233161809119,NA,-0.94466323618238,10,6,2
-0.597991219482898,-0.540015208809262,NA,-1.08003041761852,10,6,1
-0.536853299237752,-0.535361038365922,NA,-1.07072207673184,8,8,10
-0.538890187100458,-0.505707397160526,NA,-1.01141479432105,8,8,9
-0.517509067952792,-0.453400983113679,NA,-0.906801966227358,8,8,8
-0.480180594716583,-0.408422645560125,NA,-0.816845291120249,8,8,7
-0.124862000051317,-0.437539930447867,NA,-0.875079860895733,8,8,6
-0.164068676354073,-0.45082876906235,NA,-0.9016575381247,8,8,5
-0.20616811707619,-0.458789995478573,NA,-0.917579990957146,8,8,4
-0.242877862327188,-0.463613917753273,NA,-0.927227835506546,8,8,3
-0.283713289436217,-0.470692263761634,NA,-0.941384527523267,8,8,2
-0.594826736369838,-0.53856094477953,NA,-1.07712188955906,8,8,1
-0.540055031835139,-0.503907420475305,NA,-1.00781484095061,10,5,10
-0.541877929588208,-0.472186605113549,NA,-0.949022927999641,10,5,9
-0.512646653096188,-0.416909647741671,NA,-0.841853200381245,10,5,8
-0.475707758988237,-0.368927057220569,NA,-0.746863993344169,10,5,7
-0.120626888529717,-0.378849924931762,NA,-0.757699849863525,10,5,6
-0.159954359986427,-0.3884942106849,NA,-0.776988421369799,10,5,5
-0.202578896365714,-0.400721463130044,NA,-0.801442926260089,10,5,4
-0.245878665932415,-0.411423654942941,NA,-0.822847309885882,10,5,3
-0.286740188348011,-0.421461873061078,NA,-0.842923746122157,10,5,2
-0.598583794216131,-0.509548779791282,NA,-1.02690020840278,10,5,1
-0.540167746632054,-0.463097698836479,NA,-0.932031856586769,10,4,10
-0.541976226962979,-0.428224043553144,NA,-0.872083535432643,10,4,9
-0.512708428127666,-0.369605910986418,NA,-0.761979617964696,10,4,8
-0.474270757211065,-0.324566828391915,NA,-0.674239865308054,10,4,7
-0.120719728505361,-0.308640045941457,NA,-0.617280091882915,10,4,6
-0.160301092522382,-0.320872473263628,NA,-0.641744946527257,10,4,5
